Attribute,Nobel Prize for inventing Dynamite,Hot Dog Eating Champion,Nobel Prize for World Peace Org,Published a best-selling series,Won an Emmy,Emmy nomination,Won an Oscar,Oscar nomination,POTUS,Assassinated POTUS,Led a civil war,Survived a nuclear bomb,Invented the nuclear bomb,Vegan awareness,visited every country,Won a spelling bee,Looked into the solar eclipse,Recommended by 9/10 doctors,Raised money for charity,Won a tap dance competition,Can fit so many marshmallows in their mouth,Won bronze in olympics,Got 4th Place in the olympics,Can hold their breath for 2 minutes,Can actually bake a pie,Got baked and ate a whole pie,Flosses every night,Has a good work-life balance,Won a piano competition in the 2nd grade,Won the science fair,Put on a one-man play,Had a sold out out improve show,Can do really cool coffee art,Is above average height,Fired from every job,Respects vegans,Is a vegan,Won a participation trophy
Led a civil war,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survived a nuclear bomb,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Invented the nuclear bomb,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan awareness,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visited every country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won a spelling bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0.7
Looked into the solar eclipse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recommended by 9/10 doctors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raised money for charity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won a tap dance competition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0.7
Can fit so many marshmallows in their mouth,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Won bronze in olympics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Got 4th Place in the olympics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Can hold their breath for 2 minutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can actually bake a pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Got baked and ate a whole pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flosses every night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Has a good work-life balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Won a piano competition in the 2nd grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.7
Won the science fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.7
Put on a one-man play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Had a sold out out improve show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Can do really cool coffee art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Is above average height,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fired from every job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Respects vegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Is a vegan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won a participation trophy,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0.7,0.7,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0
