Attribute,Game Developer,Artist,Politician,Businessman,Doctor,Chef,Farmer,Cop,Teacher,Serial Vlogger,Cereal Vlogger,Ghost Handler,Sccounting,Scam Artist,Mob Boss,Professional Job Seeker,Esports Athlete,Captain,Tennis Pro,Actor,Critic,Advisor,Linkedin Influencer,Vet,Youtube Prankster,Water boy,Athlete,Car Salesman,Solicitor,Prophet,Cult Leader,Retail Employee,Olympian,Producer,Manager,Mortician,Venture Capitalist,Cult Follower,Mercenary,Salmon Breeder,Unemployed,Neuclear Plant Worker,Professional GenAI User,Warranty Salesman,Road Rager,Professional Tweeter,Product Reviewer,Butler,Streamer,Professional Brainrotter,Insurance Provider,Cereal Killer
Cereal Vlogger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,#Showdown of a Lifetime: Cereal Vlogger vs Cereal Killer
Ghost Handler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Sccounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Scam Artist,0,0,0,0,0,0,0,#Cop Meets Scam Artist... Beatdown Occurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Youtube Prankster vs Scam Artist: The Annoying Wars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Mob Boss,0,0,0,0,0,0,0,#Mob Boss Comes Face to Face with Cop Archenemy... Heaven-wide Chase Occurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Mob Boss Rampages as they Somehow Keep Getting Extended Warranty Calls from Stranger,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Professional Job Seeker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Professional Job Seeker Meets LinkedIn Influencer... Fighting Ensues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Esports Athlete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Captain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Tennis Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Actor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Critic,*Critics are FINE as long as it's Actually Good Criticism,*Critics are FINE as long as it's Actually Good Criticism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,0,0,0,0,0,0,0
Advisor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Linkedin Influencer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Professional Job Seeker Meets LinkedIn Influencer... Fighting Ensues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Unemployed Worker Beats up LinkedIn Influencer,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Vet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Youtube Prankster,0,0,#Youtube Prankster Ruins Politician's Speech... Chaos Ensues,0,"#Doctor Fed Up with Youtube Prankster's ""Sick"" Jokes",0,0,#Cop Beats Up Youtube Prankster... Goes Viral,#Youtuber Gets Away with Pranking Teacher... Detention for Life?,0,0,0,0,#Youtube Prankster vs Scam Artist: The Annoying Wars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Retail Employee has ENOUGH of Youtube Prankster... Cops Called,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Water boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Athlete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Car Salesman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Solicitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Prophet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Cult Leader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Retail Employee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Retail Employee has ENOUGH of Youtube Prankster... Cops Called,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Olympian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Producer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Mortician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Venture Capitalist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Cult Follower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Mercenary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Salmon Breeder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Unemployed Worker Beats up LinkedIn Influencer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Neuclear Plant Worker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Professional GenAI User,0,#GenAI User Taunts Artist... All Hell Breaks Lose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Warranty Salesman,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,#Businessman Sick of Extended Warranty Calls Goes Berserk,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,#Mob Boss Rampages as they Somehow Keep Getting Extended Warranty Calls from Stranger,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,0,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,0,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,*Extended Warranty Calls Outdated?,#Extended Warranty Salesman and Insurance Provider Battle It Out for Best Services,*Extended Warranty Calls Outdated?
Road Rager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Professional Tweeter,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,0,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,*Extended Warranty Calls Outdated?,#Professional Tweeter Annoys Everyone... Kick them out already!,0,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!,#Professional Tweeter Annoys Everyone... Kick them out already!
Product Reviewer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Streamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Professional Brainrotter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Insurance Provider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Extended Warranty Salesman and Insurance Provider Battle It Out for Best Services,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
Cereal Killer,0,0,0,0,0,0,0,0,0,0,#Showdown of a Lifetime: Cereal Vlogger vs Cereal Killer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*Extended Warranty Calls Outdated?,0,#Professional Tweeter Annoys Everyone... Kick them out already!,0,0,0,0,0,0
